,text,summary,Res
230,ordered pounds haribo fruit salad arrived time packed good condition product fresh satisfied product price ,haribo fruit salad , great product
231,pounds pound bag melted due heat shipping candy great usually concerns ,haribo gummi candy fruit salad pound bag , great product
232,favorite gummies grapefruit peach apple orange lemon sure green ones theyre delish light sugar coating old fashioned style lightly chewy ,yum , delicious
233,really good bag huge came great shape day two ,great candy , great
234,best freshest gummy ever tasted flavor incredible amazon get pounds price ounces locally ,fruit salad , best gummy bears
235,candies delicious shipment arrived within days order date extremely fresh consistency expecting great nonetheless guess expecting little tough easily achieved opening bag letting stale bit either way impressed freshness taste gummi candies well prompt delivery ,extremely fresh , great candy
236,friend gave small bag birthday couple years ago soooo good could hardly put bag found purchased item amazon promptly got account ordered pound bag fruit salad pound bag peach flavor would put stuff auto order boss still sneak order one two various flavors every start nibbling cannot hardly stop ,addictive candy , love these
237,omg sooooo good much cheaper buy way used sell stuff several dollars pound addicted ,yummy gummy , love these
238,finest gummy candy ever tried know getting credit card right would give stars delivered stale still good could amazing ,best candy out there , best candy ever
239,absolutely love candy look forward ordering delivered fresh fast friends love share book club thursday afternoon doubt use christmas stocking stuffers friends fresh fruit taste really good especially favorites peach grapefruit thank wonderful product haribo ,haribo gummi candy book club favorite , great candy
240,haribo gummy candy favorite price great shipped cooler weather last shipment slightly melted got ,haribo , great deal
241,candy sweet tangy taste soft chewy flavors pretty close represent cherry peach orange etc taste like flavors yes sound like would given candy companies fail respect thankfully haribo succeeded particular candy ,sweet and tangy , not bad
242,gummi addict said doubt buy second time great flavors odd flavor bad flavor necessarily odd ,good but not great , not so good
